Day,Len,State,EV,Dem,GOP,Ind,Date,,,,,,,,Pollster
237.0,9,New Hampshire,,44,42,,Aug 28,,,,,,,,U. of New Hampshire-9
224.0,3,New Hampshire,,42,41,,Aug 12,,,,,,,,YouGov-3
219.0,3,New Hampshire,,47,42,,Aug 07,,,,,,,,PPP-3
212.5,4,New Hampshire,,50,40,,Aug 01,,,,,,,,MassINC-4
202.0,3,New Hampshire,,41,49,,Jul 21,,,,,,,,Inside Sources-3
195.5,10,New Hampshire,,45,42,,Jul 18,,,,,,,,U. of New Hampshire-10
178.0,5,New Hampshire,,42,51,,Jun 28,,,,,,,,ARG-5
174.5,2,New Hampshire,,44,42,,Jun 23,,,,,,,,PPP-2
159.5,2,New Hampshire,,47,44,,Jun 08,,,,,,,,PPP-2
147.5,4,New Hampshire,,47,48,,May 28,,,,,,,,Franklin Pierce U.-4
134.5,4,New Hampshire,,48,46,,May 15,,,,,,,,MassINC-4
104.5,6,New Hampshire,,35,37,,Apr 16,,,,,,,,Dartmouth Coll.-6
103.0,11,New Hampshire,,42,43,,Apr 17,,,,,,,,U. of New Hampshire-11
 55.0,9,New Hampshire,,41,45,,Feb 28,,,,,,,,U. of New Hampshire-9
 20.0,7,New Hampshire,,40,45,,Jan 23,,,,,,,,Marist Coll.-7
  5.0,3,New Hampshire,,42,44,,Jan 06,,,,,,,,PPP-3
  1.0,1,New Hampshire,,37,60,,Jan 01,,,,,,,,2010 Election results-1
289.0,5,New York,,66,27,,Oct 17,,,,,,,,Siena Coll.-5
266.0,3,New York,,70,24,,Sep 23,,,,,,,,Marist Coll.-3
257.0,5,New York,,69,23,,Sep 15,,,,,,,,Siena Coll.-5
242.0,3,New York,,60,23,,Aug 30,,,,,,,,Emerson College-3
221.5,4,New York,,63,24,,Aug 10,,,,,,,,Siena Coll.-4
197.0,5,New York,,60,28,,Jul 17,,,,,,,,Quinnipiac U.-5
177.0,7,New York,,66,23,,Jun 28,,,,,,,,Siena Coll.-7
 99.5,4,New York,,55,23,,Apr 10,,,,,,,,PPP-4
 85.5,8,New York,,63,24,,Mar 29,,,,,,,,Quinnipiac U.-8
  1.0,1,New York,,62,36,,Jan 01,,,,,,,,2010 Election results-1
295.5,2,North Carolina,,41,42,,Oct 22,,,,,,,,PPP-2
295.5,4,North Carolina,,43,49,,Oct 23,,,,,,,,Monmouth U.-4
295.5,4,North Carolina,,47,46,,Oct 23,,,,,,,,Siena Coll.-4
289.5,4,North Carolina,,43,45,,Oct 17,,,,,,,,SurveyUSA-4
286.5,6,North Carolina,,47,48,,Oct 15,,,,,,,,Opinion Research-6
286.0,9,North Carolina,,48,42,,Oct 16,,,,,,,,SurveyMonkey-9
285.0,3,North Carolina,,36,40,,Oct 12,,,,,,,,Suffolk U.-3
285.0,3,North Carolina,,43,45,,Oct 12,,,,,,,,Emerson Coll.-3
285.0,3,North Carolina,,46,46,,Oct 12,,,,,,,,Marist Coll.-3
277.5,6,North Carolina,,42,47,,Oct 06,,,,,,,,High Point U.-6
275.0,5,North Carolina,,44,46,,Oct 03,,,,,,,,SurveyUSA-5
274.5,4,North Carolina,,46,44,,Oct 02,,,,,,,,Selzer-4
273.5,6,North Carolina,,46,46,,Oct 02,,,,,,,,Quinnipiac U.-6
272.5,4,North Carolina,,44,43,,Sep 30,,,,,,,,Elon U.-4
271.5,2,North Carolina,,39,41,,Sep 28,,,,,,,,PPP-2
264.0,5,North Carolina,,38,35,,Sep 22,,,,,,,,Meredith College-5
263.5,6,North Carolina,,43,45,,Sep 22,,,,,,,,High Point U.-6
263.0,3,North Carolina,,37,43,,Sep 20,,,,,,,,Fox News-3
263.0,3,North Carolina,,41,41,,Sep 20,,,,,,,,PPP-3
261.5,4,North Carolina,,46,42,,Sep 19,,,,,,,,Siena Coll.-4
258.0,5,North Carolina,,44,43,,Sep 16,,,,,,,,Elon U.-5
250.0,3,North Carolina,,37,41,,Sep 07,,,,,,,,Suffolk U.-3
247.5,8,North Carolina,,43,49,,Sep 07,,,,,,,,Quinnipiac U.-8
244.5,4,North Carolina,,41,40,,Sep 02,,,,,,,,YouGov-4
241.0,3,North Carolina,,41,45,,Aug 29,,,,,,,,Emerson College-3
239.5,2,North Carolina,,43,46,,Aug 27,,,,,,,,PPP-2
234.5,4,North Carolina,,43,45,,Aug 23,,,,,,,,Monmouth U.-4
233.5,6,North Carolina,,45,50,,Aug 23,,,,,,,,Opinion Research-6
220.0,7,North Carolina,,46,44,,Aug 10,,,,,,,,Marist Coll.-7
219.0,3,North Carolina,,37,41,,Aug 07,,,,,,,,PPP-3
190.0,7,North Carolina,,41,48,,Jul 11,,,,,,,,Marist Coll.-7
172.5,2,North Carolina,,37,40,,Jun 21,,,,,,,,PPP-2
142.0,3,North Carolina,,36,39,,May 22,,,,,,,,PPP-3
114.0,3,North Carolina,,36,40,,Apr 24,,,,,,,,PPP-3
103.5,6,North Carolina,,33,37,,Apr 15,,,,,,,,Elon U.-6
 79.0,3,North Carolina,,35,40,,Mar 20,,,,,,,,PPP-3
 46.0,3,North Carolina,,37,45,,Feb 16,,,,,,,,SurveyUSA-3
 18.5,2,North Carolina,,33,43,,Jan 19,,,,,,,,PPP-2
  1.0,1,North Carolina,,43,55,,Jan 01,,,,,,,,2010 Election results-1
  1.0,1,North Dakota,,22,76,,Jan 01,,,,,,,,2010 Election results-1
292.0,3,Ohio,,31,46,,Oct 19,,,,,,,,Suffolk U.-3
287.0,7,Ohio,,41,54,,Oct 16,,,,,,,,Quinnipiac U.-7
286.5,6,Ohio,,40,56,,Oct 15,,,,,,,,Opinion Research-6
286.0,9,Ohio,,39,56,,Oct 16,,,,,,,,SurveyMonkey-9
285.0,3,Ohio,,30,47,,Oct 12,,,,,,,,Emerson Coll.-3
285.0,3,Ohio,,37,55,,Oct 12,,,,,,,,Marist Coll.-3
284.0,3,Ohio,,36,48,,Oct 11,,,,,,,,Baldwin Wallace U.-3
280.0,3,Ohio,,38,49,,Oct 07,,,,,,,,YouGov-3
279.5,2,Ohio,,36,51,,Oct 06,,,,,,,,PPP-2
276.5,4,Ohio,,39,54,,Oct 04,,,,,,,,Monmouth U.-4
273.5,6,Ohio,,38,55,,Oct 02,,,,,,,,Quinnipiac U.-6
263.0,3,Ohio,,37,51,,Sep 20,,,,,,,,Fox News-3
262.5,8,Ohio,,32,47,,Sep 22,,,,,,,,TargetSmart-8
257.0,3,Ohio,,31,39,,Sep 14,,,,,,,,Suffolk U.-3
254.5,4,Ohio,,36,53,,Sep 12,,,,,,,,Selzer-4
253.5,6,Ohio,,37,58,,Sep 12,,,,,,,,Opinion Research-6
247.5,8,Ohio,,40,51,,Sep 07,,,,,,,,Quinnipiac U.-8
239.5,2,Ohio,,39,48,,Aug 27,,,,,,,,PPP-2
239.0,3,Ohio,,25,40,,Aug 27,,,,,,,,Emerson Coll.-3
232.5,4,Ohio,,40,48,,Aug 21,,,,,,,,Monmouth U.-4
231.0,3,Ohio,,39,46,,Aug 19,,,,,,,,YouGov-3
218.0,5,Ohio,,43,48,,Aug 07,,,,,,,,Marist Coll.-5
216.0,9,Ohio,,40,49,,Aug 07,,,,,,,,Quinnipiac U.-9
205.0,3,Ohio,,38,43,,Jul 24,,,,,,,,PPP-3
189.5,6,Ohio,,44,44,,Jul 10,,,,,,,,Marist Coll.-6
187.5,12,Ohio,,40,47,,Jul 11,,,,,,,,Quinnipiac U.-12
174.5,2,Ohio,,39,40,,Jun 23,,,,,,,,PPP-2
165.5,12,Ohio,,42,42,,Jun 19,,,,,,,,Quinnipiac U.-12
160.5,2,Ohio,,42,46,,Jun 09,,,,,,,,PPP-2
123.5,12,Ohio,,43,42,,May 08,,,,,,,,Quinnipiac U.-12
117.5,2,Ohio,,38,38,,Apr 27,,,,,,,,PPP-2
 65.0,3,Ohio,,41,40,,Mar 06,,,,,,,,PPP-3
 49.0,5,Ohio,,40,44,,Feb 20,,,,,,,,Baldwin Wallace U.-5
 49.0,5,Ohio,,44,42,,Feb 20,,,,,,,,Quinnipiac U.-5
  1.0,1,Ohio,,39,57,,Jan 01,,,,,,,,2010 Election results-1
  1.0,1,Oklahoma,,26,71,,Jan 01,,,,,,,,2010 Election results-1
285.0,3,Oregon,,54,32,,Oct 12,,,,,,,,SurveyUSA-3
  1.0,1,Oregon,,56,41,,Jan 01,,,,,,,,2010 Election results-1
292.0,3,Pennsylvania,,43,46,,Oct 19,,,,,,,,Emerson Coll.-3
287.0,7,Pennsylvania,,45,49,,Oct 16,,,,,,,,Quinnipiac U.-7
286.0,9,Pennsylvania,,47,47,,Oct 16,,,,,,,,SurveyMonkey-9
283.0,5,Pennsylvania,,47,45,,Oct 11,,,,,,,,Selzer-5
280.0,3,Pennsylvania,,42,42,,Oct 07,,,,,,,,YouGov-3
278.5,4,Pennsylvania,,48,44,,Oct 06,,,,,,,,Marist Coll.-4
275.5,4,Pennsylvania,,46,46,,Oct 03,,,,,,,,Monmouth U.-4
274.0,5,Pennsylvania,,41,35,,Oct 02,,,,,,,,Franklin+Marshall Coll.-5
273.5,6,Pennsylvania,,42,50,,Oct 02,,,,,,,,Quinnipiac U.-6
271.5,2,Pennsylvania,,40,35,,Sep 28,,,,,,,,PPP-2
266.5,6,Pennsylvania,,49,46,,Sep 25,,,,,,,,Opinion Research-6
265.0,5,Pennsylvania,,40,41,,Sep 23,,,,,,,,Muhlenberg Coll.-5
261.5,12,Pennsylvania,,42,43,,Sep 23,,,,,,,,Mercyhurst U.-12
258.0,5,Pennsylvania,,43,38,,Sep 16,,,,,,,,Muhlenberg Coll.-5
247.5,8,Pennsylvania,,45,46,,Sep 07,,,,,,,,Quinnipiac U.-8
244.5,4,Pennsylvania,,39,39,,Sep 02,,,,,,,,YouGov-4
243.5,2,Pennsylvania,,44,41,,Aug 31,,,,,,,,PPP-2
240.5,4,Pennsylvania,,45,41,,Aug 29,,,,,,,,Monmouth U.-4
240.0,5,Pennsylvania,,43,38,,Aug 29,,,,,,,,Franklin+Marshall Coll.-5
239.5,2,Pennsylvania,,46,40,,Aug 27,,,,,,,,PPP-2
239.5,4,Pennsylvania,,39,46,,Aug 28,,,,,,,,Emerson Coll.-4
218.0,5,Pennsylvania,,48,44,,Aug 07,,,,,,,,Marist Coll.-5
216.0,9,Pennsylvania,,47,44,,Aug 07,,,,,,,,Quinnipiac U.-9
212.5,4,Pennsylvania,,39,38,,Aug 01,,,,,,,,Franklin+Marshall Coll.-4
212.0,3,Pennsylvania,,41,42,,Jul 31,,,,,,,,PPP-3
208.0,3,Pennsylvania,,43,36,,Jul 27,,,,,,,,Suffolk U.-3
189.5,6,Pennsylvania,,47,44,,Jul 10,,,,,,,,Marist Coll.-6
187.5,12,Pennsylvania,,39,49,,Jul 11,,,,,,,,Quinnipiac U.-12
174.5,2,Pennsylvania,,39,40,,Jun 23,,,,,,,,PPP-2
165.5,12,Pennsylvania,,40,49,,Jun 19,,,,,,,,Quinnipiac U.-12
160.5,2,Pennsylvania,,42,45,,Jun 09,,,,,,,,PPP-2
156.0,3,Pennsylvania,,38,41,,Jun 05,,,,,,,,PPP-3
123.5,12,Pennsylvania,,44,45,,May 08,,,,,,,,Quinnipiac U.-12
 92.5,6,Pennsylvania,,38,47,,Apr 04,,,,,,,,Quinnipiac U.-6
 77.0,3,Pennsylvania,,34,47,,Mar 18,,,,,,,,Mercyhurst Coll.-3
  1.0,1,Pennsylvania,,49,51,,Jan 01,,,,,,,,2010 Election results-1
222.5,2,South Carolina,,28,45,,Aug 10,,,,,,,,PPP-2
  1.0,1,South Carolina,,28,63,,Jan 01,,,,,,,,2010 Election results-1
293.0,3,South Dakota,,27,65,,Oct 20,,,,,,,,Mason Dixon-3
  1.0,1,South Dakota,,0,99,,Jan 01,,,,,,,,2010 Election results-1
289.0,3,Utah,,25,57,,Oct 16,,,,,,,,Rasmussen-3
285.0,3,Utah,,31,60,,Oct 12,,,,,,,,Monmouth U.-3
233.0,3,Utah,,21,51,,Aug 21,,,,,,,,PPP-3
208.0,19,Utah,,22,57,,Aug 04,,,,,,,,Dan Jones-19
  1.0,1,Utah,,32,62,,Jan 01,,,,,,,,2010 Election results-1
280.5,16,Vermont,,59,22,,Oct 14,,,,,,,,Castleton State Coll.-16
247.5,4,Vermont,,57,34,,Sep 05,,,,,,,,Emerson College-4
199.0,13,Vermont,,66,24,,Jul 23,,,,,,,,Castleton State Coll.-13
  1.0,1,Vermont,,64,31,,Jan 01,,,,,,,,2010 Election results-1
295.0,3,Washington,,58,34,,Oct 22,,,,,,,,Elway Poll-3
269.5,2,Washington,,48,41,,Sep 26,,,,,,,,Emerson Coll.-2
224.0,5,Washington,,52,34,,Aug 13,,,,,,,,Elway Poll-5
  1.0,1,Washington,,52,48,,Jan 01,,,,,,,,2010 Election results-1
292.5,2,Wisconsin,,47,41,,Oct 19,,,,,,,,PPP-2
290.5,4,Wisconsin,,52,44,,Oct 18,,,,,,,,Monmouth U.-4
288.5,4,Wisconsin,,52,40,,Oct 16,,,,,,,,St. Norbert Coll.-4
286.0,9,Wisconsin,,51,46,,Oct 16,,,,,,,,SurveyMonkey-9
281.5,4,Wisconsin,,46,44,,Oct 09,,,,,,,,Marquette Law School-4
280.0,3,Wisconsin,,45,43,,Oct 07,,,,,,,,YouGov-3
278.5,2,Wisconsin,,40,45,,Oct 05,,,,,,,,Loras Coll.-2
263.5,2,Wisconsin,,52,42,,Sep 20,,,,,,,,Emerson Coll.-2
260.5,4,Wisconsin,,44,39,,Sep 18,,,,,,,,Marquette Law School-4
241.5,4,Wisconsin,,54,41,,Aug 30,,,,,,,,Monmouth U.-4
239.5,2,Wisconsin,,49,42,,Aug 27,,,,,,,,PPP-2
239.5,4,Wisconsin,,48,45,,Aug 28,,,,,,,,Marquette Law School-4
238.0,1,Wisconsin,,55,37,,Aug 25,,,,,,,,Global Strategy-1
218.5,4,Wisconsin,,53,42,,Aug 07,,,,,,,,Marquette Law School-4
190.5,4,Wisconsin,,49,44,,Jul 10,,,,,,,,Marquette Law School-4
174.5,2,Wisconsin,,50,37,,Jun 23,,,,,,,,PPP-2
159.5,4,Wisconsin,,51,42,,Jun 09,,,,,,,,Marquette Law School-4
104.5,4,Wisconsin,,51,41,,Apr 15,,,,,,,,St. Norbert Coll.-4
 92.0,5,Wisconsin,,48,44,,Apr 03,,,,,,,,Emerson Coll.-5
 86.0,5,Wisconsin,,47,44,,Mar 28,,,,,,,,Marquette Law School-5
 50.5,4,Wisconsin,,49,37,,Feb 21,,,,,,,,Marquette Law School-4
 22.5,4,Wisconsin,,50,37,,Jan 24,,,,,,,,Marquette Law School-4
  1.0,1,Wisconsin,,46,53,,Jan 01,,,,,,,,2010 Election results-1
